	PHASE	TYPE	ORIGINAL	ACTUAL	UP	DP	position	position_UP	position_DP	phoneme	phon_prob	error
292	Original	Original	slog@n	slog@n	?	?	2	?	?	l	0.04740	1.90521
293	Original	Original	slog@n	slog@n	?	?	3	?	?	o	0.08374	1.83251
294	Original	Original	slog@n	slog@n	?	?	4	?	?	g	0.13333	1.73333
295	Original	Original	slog@n	slog@n	?	?	5	?	?	@	1.00000	0.00000
296	Original	Original	slog@n	slog@n	?	?	6	?	?	n	1.00000	0.00000
297	Original	Original	s@nAt@	s@nAt@	?	?	1	?	?	s	0.11388	1.77224
298	Original	Original	s@nAt@	s@nAt@	?	?	2	?	?	@	0.05393	1.89213
299	Original	Original	s@nAt@	s@nAt@	?	?	3	?	?	n	0.03030	1.93939
300	Original	Original	s@nAt@	s@nAt@	?	?	4	?	?	A	0.28571	1.42857
301	Original	Original	s@nAt@	s@nAt@	?	?	5	?	?	t	1.00000	0.00000
302	Original	Original	s@nAt@	s@nAt@	?	?	6	?	?	@	1.00000	0.00000
303	Original	Original	sAvr@n	sAvr@n	?	?	1	?	?	s	0.11388	1.77224
304	Original	Original	sAvr@n	sAvr@n	?	?	2	?	?	A	0.01961	1.96078
305	Original	Original	sAvr@n	sAvr@n	?	?	3	?	?	v	0.03571	1.92857
306	Original	Original	sAvr@n	sAvr@n	?	?	4	?	?	r	1.00000	0.00000
307	Original	Original	sAvr@n	sAvr@n	?	?	5	?	?	@	1.00000	0.00000
308	Original	Original	sAvr@n	sAvr@n	?	?	6	?	?	n	1.00000	0.00000
309	Original	Original	tArg@t	tArg@t	?	?	1	?	?	t	0.04395	1.91210
310	Original	Original	tArg@t	tArg@t	?	?	2	?	?	A	0.05203	1.89595
311	Original	Original	tArg@t	tArg@t	?	?	3	?	?	r	0.22093	1.55814
312	Original	Original	tArg@t	tArg@t	?	?	4	?	?	g	0.11111	1.77778
313	Original	Original	tArg@t	tArg@t	?	?	5	?	?	@	1.00000	0.00000
314	Original	Original	tArg@t	tArg@t	?	?	6	?	?	t	1.00000	0.00000
315	Original	Original	TOraks	TOraks	?	?	1	?	?	T	0.00651	1.98697
316	Original	Original	TOraks	TOraks	?	?	2	?	?	O	0.06122	1.87755
317	Original	Original	TOraks	TOraks	?	?	3	?	?	r	0.42857	1.14286
318	Original	Original	TOraks	TOraks	?	?	4	?	?	a	0.20000	1.60000
319	Original	Original	TOraks	TOraks	?	?	5	?	?	k	1.00000	0.00000
320	Original	Original	TOraks	TOraks	?	?	6	?	?	s	1.00000	0.00000
321	Original	Original	t#kwYz	t#kwYz	?	?	1	?	?	t	0.04395	1.91210
322	Original	Original	t#kwYz	t#kwYz	?	?	2	?	?	#	0.04416	1.91168
323	Original	Original	t#kwYz	t#kwYz	?	?	3	?	?	k	0.08219	1.83562
324	Original	Original	t#kwYz	t#kwYz	?	?	4	?	?	w	0.20000	1.60000
325	Original	Original	t#kwYz	t#kwYz	?	?	5	?	?	Y	1.00000	0.00000
326	Original	Original	t#kwYz	t#kwYz	?	?	6	?	?	z	1.00000	0.00000
327	Original	Original	vaksin	vaksin	?	?	1	?	?	v	0.01489	1.97022
328	Original	Original	vaksin	vaksin	?	?	2	?	?	a	0.11250	1.77500
329	Original	Original	vaksin	vaksin	?	?	3	?	?	k	0.14286	1.71429
